id,dia,horario
1,Segunda,7h
2,Segunda,8h
3,Segunda,9h
4,Segunda,10h
5,Segunda,11h
6,Terça,7h
7,Terça,8h
8,Terça,9h
9,Terça,10h
10,Terça,11h
11,Quarta,7h
12,Quarta,8h
13,Quarta,9h
14,Quarta,10h
15,Quarta,11h
16,Quinta,7h
17,Quinta,8h
18,Quinta,9h
19,Quinta,10h
20,Quinta,11h
21,Sexta,7h
22,Sexta,8h
23,Sexta,9h
24,Sexta,10h
25,Sexta,11h
